time,low,high,open,close,volume
1493596800,1370.98,1397.9,1384.55,1382.96,1071.65021175
1493600400,1382.72,1396,1382.95,1389.1,638.95340486
1493604000,1387.63,1399.99,1389.1,1399.99,620.08594841
1493607600,1398.02,1427.34,1399.53,1421.42,958.52939564
1493611200,1410,1424.17,1421.44,1420.36,586.75260727
1493614800,1413.06,1428.01,1420.18,1419.4,631.13729623
1493618400,1414.63,1425,1419.4,1417.97,449.38458868
1493622000,1411.5,1418,1417.96,1411.99,332.13026327
1493625600,1401.27,1415.46,1413.81,1405,383.23444534
1493629200,1391.16,1405.01,1405,1398.28,464.96678787
1493632800,1395.16,1401.83,1398.28,1399,283.96808683
1493636400,1397.27,1400.25,1399,1400.1,378.49090129
1493640000,1400.09,1407.5,1400.1,1407.49,582.52289556
1493643600,1406.43,1421,1407.5,1418.2,649.29411864
1493647200,1417.5,1458,1418.2,1457.93,996.14500682
1493650800,1440,1466.69,1457.8,1441.4,1043.58941104
1493654400,1441.03,1460,1441.49,1452,1147.47604712
1493658000,1437.74,1463,1452,1440.81,1511.81168274
1493661600,1430,1454.37,1441.42,1447.82,1035.06203294
1493665200,1440.12,1457.22,1447.77,1454.51,675.09121705
1493668800,1446.61,1459.95,1455.02,1458.99,757.13754613
1493672400,1454.34,1465.09,1458.95,1461.88,846.85402924
1493676000,1450,1461.88,1461.88,1452,371.27828187
1493679600,1436.5,1453.96,1452,1436.5,576.75479037
1493683200,1426.51,1436.5,1436.5,1434.94,709.93877191
1493686800,1432.72,1443,1434.95,1443,408.44802422
1493690400,1442.9,1447,1443,1446.86,269.76550105
1493694000,1440.01,1447.47,1446.87,1443.41,293.12082622
1493697600,1443.13,1456.78,1443.41,1452.87,331.86117773
1493701200,1449.3,1467.83,1452.87,1464.08,721.68330404
1493704800,1448.5,1464.07,1464.07,1448.5,286.95162936
1493708400,1445.43,1449,1448.51,1448.33,356.72272453
1493712000,1447.51,1458.2,1448.31,1452.5,454.00862052
1493715600,1451.73,1464.75,1452.5,1464.74,512.87020261
1493719200,1464.15,1475,1464.75,1473.98,524.40522451
1493722800,1465,1490.84,1473.99,1484.22,724.97237198
1493726400,1471.51,1490.06,1484.32,1488.87,525.85046894
1493730000,1483.52,1492.93,1488.2,1483.81,506.52405527
1493733600,1466.03,1489.74,1483.76,1473.37,596.01971292
1493737200,1468.45,1489.32,1473.35,1478.99,475.22711215
1493740800,1474.19,1478.98,1478.95,1478,511.90593735
1493744400,1470,1478.98,1477.85,1472,460.10644246
1493748000,1441.11,1472.3,1472,1449.64,668.00361205
1493751600,1437.5,1463.18,1450.46,1453,714.93204536
1493755200,1444,1455.61,1453,1448.1,530.1611614
1493758800,1446.17,1454,1448.53,1450.67,431.09298312
1493762400,1448.92,1471.33,1450.66,1465.29,523.36379439
1493766000,1462.11,1472,1465.28,1471.99,493.64848652
1493769600,1469.5,1479.93,1471.79,1478.95,376.10068399
1493773200,1476.61,1482.29,1478.94,1479,779.21896627
1493776800,1466,1480.5,1478.99,1468.22,453.9947984
1493780400,1466.41,1476.57,1468.23,1473.96,416.05186691
1493784000,1471,1475,1473.88,1473.23,245.65433807
1493787600,1460,1474.26,1473.23,1460,271.21590091
1493791200,1453.68,1461.4,1460,1455.79,539.8655042
1493794800,1455.55,1459.5,1455.91,1457.47,187.76333493
1493798400,1456.39,1461,1457.47,1460.99,189.06114057
1493802000,1457.77,1473.47,1461,1473.47,514.41110648
1493805600,1460.79,1476,1473.46,1475.99,279.18419053
1493809200,1473.63,1480,1475.96,1478.48,333.89963464
1493812800,1477.64,1483,1478.47,1477.64,287.45107751
1493816400,1467.25,1479.58,1477.65,1472.45,463.56922896
1493820000,1464.54,1476.93,1472.52,1472.85,484.86687901
1493823600,1472.9,1481.25,1473.32,1480,627.31267648
1493827200,1465.6,1481.25,1480,1476.03,1348.27256561
1493830800,1473.91,1497.83,1476.03,1497.83,1922.89554347
1493834400,1490,1502,1497.83,1501.99,1505.84554733
1493838000,1501.6,1517.11,1501.6,1509.72,1103.73064658
