time,low,high,open,close,volume
1485928800,971.81,979,975,978.89,327.82260458
1485936000,972,979.99,978.85,973.57,344.63578111
1485943200,965,973.95,973.57,969.39,353.14280632
1485950400,963.84,972.21,969.84,970.82,395.76656139
1485957600,970.21,974.29,970.84,974.28,596.82856528
1485964800,972.58,978.27,973.51,977.34,512.90001743
1485972000,976.65,979.99,977.35,978.7,548.13330409
1485979200,978.63,980.9,978.91,980.8,371.5662968
1485986400,979.4,992.75,980.79,992.75,609.40645935
1485993600,991.52,996.99,992.75,993.99,530.68654342
1486000800,978.74,993.99,993.99,986.14,730.60863625
1486008000,983.64,988.93,986.14,987.01,275.85073086
1486015200,985.75,988.99,987.98,988.74,213.26312029
1486022400,987.89,992,988.74,991.98,187.38163005
1486029600,988.49,992,991.97,992,179.32859699
1486036800,989.82,993.24,992,993.1,237.48957773
1486044000,988.6,996,993.16,995.85,574.63808232
1486051200,995.95,1005.1,995.97,1001.49,1000.6406794
1486058400,1000,1002.96,1001.48,1002,502.32372577
1486065600,1001.21,1008.99,1002,1008.99,535.84174685
1486072800,1002.01,1010,1008.99,1008.38,760.15931084
1486080000,997.94,1014.73,1008.4,1014.22,845.95895569
1486087200,1011,1022,1014.71,1020.6,788.70925495
1486094400,1017.08,1024.5,1020.68,1019.9,479.65217682
1486101600,994.34,1023.23,1019.54,1017.13,887.35264035
1486108800,1009.89,1018.9,1017.26,1017,352.85776561
1486116000,1002.94,1018.85,1016.89,1007.92,476.33042236
1486123200,1000,1013.4,1008.01,1013.35,404.24880884
1486130400,1009.48,1017.73,1012.2,1017.73,492.280585
1486137600,1012,1018.99,1017.86,1018.99,517.6881468
1486144800,1016,1019.98,1018.99,1016.62,442.27175104
1486152000,1010,1016.63,1016.45,1015.8,515.19935168
1486159200,1008.79,1019.75,1015.75,1018,573.71985932
1486166400,1016.5,1019.5,1018.48,1019.04,420.80897353
1486173600,1012,1019.49,1019.05,1012.28,474.35204316
1486180800,1006.75,1014.57,1012.28,1008.35,371.63229873
1486188000,1001.8,1014.43,1007.51,1014.43,275.95020222
1486195200,1010.01,1015,1014.42,1010.63,105.36263979
1486202400,1009.01,1013,1010.63,1011.25,166.89021889
1486209600,1010.41,1018,1011.77,1016.01,363.73919821
1486216800,1010.22,1016.09,1016.07,1013.99,290.24700633
1486224000,1012,1038,1014,1037.02,729.95178787
1486231200,1030.04,1044.12,1037.02,1039.27,834.14255948
1486238400,1027.87,1039.27,1038.8,1029.32,389.23001823
1486245600,1029.32,1035.99,1029.33,1035.54,371.49827972
1486252800,1029.89,1036.3,1035.54,1035.26,347.10526307
1486260000,1031.59,1035.66,1035.26,1033.67,301.43830816
1486267200,1028.25,1033.64,1033.64,1029.82,231.45396266
1486274400,1028.21,1030.65,1029.78,1030.01,210.78558102
1486281600,1025.7,1030,1030,1027.3,158.09297691
1486288800,1020.43,1028.41,1027.48,1025.31,220.5365166
1486296000,1015,1025.18,1025.18,1019.03,440.40393731
1486303200,1018,1023.97,1019.28,1018.11,312.70614202
1486310400,1010,1018.84,1018.13,1011.07,768.4695356
1486317600,1003.02,1011.14,1010.66,1011.14,777.9419059
1486324800,1007.89,1020.09,1011.14,1015.3,469.40040124
1486332000,1011.38,1020,1015.3,1016.32,383.05716037
1486339200,1015.36,1019.27,1016.32,1019.2,262.8399889
1486346400,1014.64,1020.86,1019.09,1020.19,220.98074532
1486353600,1017,1022.7,1020.19,1017.94,306.82511267
1486360800,1017.8,1020.5,1018.83,1020.5,160.87240097
1486368000,1020.49,1026,1020.5,1026,335.52527289
1486375200,1022.01,1027.7,1026,1023.78,221.49110259
1486382400,1022.16,1027.6,1024.44,1022.43,236.62994605
1486389600,1022.24,1026.32,1022.42,1023.99,426.5400855
1486396800,1020,1024,1023.97,1021.96,643.46538303
1486404000,1019.75,1022.99,1022.72,1022.41,589.87300096
1486411200,1020.67,1025.99,1021.93,1025.51,429.70055025
1486418400,1020.82,1025.96,1025.3,1022.58,531.30001171
1486425600,1021.75,1025.67,1022.65,1025.41,358.6927064
1486432800,1025.31,1027,1025.66,1026.99,384.99160637
1486440000,1027,1040,1027,1039.37,536.38654899
1486447200,1034.06,1048.89,1039.36,1047.33,376.31685906
1486454400,1045.65,1047.96,1047.32,1045.74,194.29982203
1486461600,1040.86,1048.99,1045.73,1048.96,279.84490188
1486468800,1048.53,1056.72,1048.97,1054.98,711.74701386
1486476000,1045.03,1058.26,1054.98,1047.99,668.26514759
1486483200,1045,1049.99,1048,1049.02,539.06345844
1486490400,1046.61,1050,1048.93,1048.3,626.72302988
1486497600,1047.5,1053.25,1048.29,1052.93,409.45064897
1486504800,1051.01,1053.99,1053.24,1053.96,406.62706554
1486512000,1051.46,1064.23,1053.95,1060,608.6357712
1486519200,1060,1069.4,1060,1068.64,637.06410007
1486526400,1065.58,1069.95,1068.65,1067.19,434.67833226
1486533600,1064.26,1068.78,1067.18,1064.26,317.2145415
1486540800,1016.49,1064.12,1064.12,1032.26,1532.20168978
1486548000,1029,1046.97,1032.27,1038.13,530.77546991
1486555200,1031.64,1041.81,1038.17,1041.22,416.81238143
1486562400,1040,1052.24,1041.21,1052.18,421.66937753
1486569600,1051.1,1058.94,1052.18,1058.67,515.5044958
1486576800,1057.78,1065,1057.85,1062.99,673.65316733
1486584000,1053.03,1063.99,1062.99,1060.99,516.43128446
1486591200,1055,1060.88,1060.87,1056.7,373.9438917
1486598400,1055,1067.5,1057.22,1062,412.08856396
1486605600,1061.8,1073.22,1061.99,1072.7,666.71683852
1486612800,1069.14,1079,1072.68,1074.3,608.96269629
1486620000,1053.12,1074.65,1074.39,1062.41,549.93365268
1486627200,1061.02,1069.55,1061.18,1065.32,189.42984591
1486634400,1057.23,1067.98,1065.61,1065.24,170.63319186
1486641600,925,1065.96,1065.23,989.44,4568.43890926
1486648800,940.02,1005,985.75,992.52,3890.06562534
1486656000,973.34,994.2,992.47,983.75,1569.47724637
1486663200,946,989.73,983.74,959.4,1884.98971809
1486670400,955.77,979.98,959.52,977.96,1082.85956015
1486677600,977.08,994.25,977.96,994.24,973.47528786
1486684800,962.12,999.96,993.58,980.85,1078.32937488
1486692000,971,993.71,980.85,982.29,678.73613062
1486699200,982.29,996.65,982.29,989.23,490.14875456
1486706400,972,989.7,989.14,983.71,437.23969872
1486713600,961,984.35,983.71,978.97,576.44401902
1486720800,968.39,988.91,978.96,986.64,242.09561547
1486728000,968.78,989.62,988.26,969.5,453.89774604
1486735200,966.3,978.99,969.5,978.97,638.96683697
1486742400,974.28,979.99,978.97,979.97,563.14068148
1486749600,975.72,990.22,979.97,988.74,1117.88719479
1486756800,988.21,1008,988.77,1004.41,1177.76135225
1486764000,999,1005.49,1003.71,1001.99,489.02893198
1486771200,999.99,1004.98,1001.88,1002.88,629.88993127
1486778400,995.49,1007.98,1003.14,1004.28,618.21371152
1486785600,998.47,1020,1004.36,1016.33,578.41246926
1486792800,1010,1019.8,1018.22,1015.78,263.29576769
1486800000,1012.94,1020,1015.35,1018.66,232.05830744
1486807200,1007,1020,1018.73,1012.62,167.81599816
1486814400,1006.5,1013.75,1012.87,1013.29,152.93534016
1486821600,1011.19,1014.99,1013.29,1012.11,270.99377835
1486828800,1010,1022,1012.04,1022,410.29658278
1486836000,1014.11,1023.89,1022,1018.03,365.40654893
1486843200,1016.8,1022,1018.03,1021.32,350.96397345
1486850400,1013.98,1021.26,1020.06,1018.65,281.68818663
1486857600,1014.41,1018.88,1018.63,1014.98,271.26623206
1486864800,1010.43,1014.98,1014.98,1013.13,225.36712454
1486872000,1010.4,1013.16,1013.13,1011.82,191.95235178
1486879200,1010.57,1014,1011.82,1013.34,95.67596779
1486886400,1012.79,1013.5,1013.11,1013.23,21.13496763
1486893600,1013.23,1014,1013.23,1014,18.68628795
1486900800,1013.59,1014,1014,1013.85,40.31737355
1486908000,1013.5,1013.95,1013.88,1013.51,38.56238213
1486915200,1008,1013.51,1013.51,1010.4,113.15693555
1486922400,1008,1010.4,1010.4,1008.52,43.80225402
1486929600,1008.57,1008.81,1008.57,1008.81,36.07295236
1486936800,1008.8,1010,1008.81,1010,219.73472854
1486944000,1009.95,1013.68,1009.99,1013.68,248.48714738
1486951200,1013.65,1016,1013.68,1015.89,290.68462376
1486958400,1015.01,1021.5,1015.89,1018.73,306.4652603
1486965600,1015,1018.74,1018.73,1015.39,104.95800313
1486972800,985.68,1017,1015.39,997.88,662.66741074
1486980000,992.9,1007.83,998.67,1002.79,162.52049328
1486987200,992.08,1004,1002.8,992.41,403.89826334
1486994400,991.75,996.05,992.41,994.53,443.573222
1487001600,994.51,1001.99,994.89,999.37,740.50652391
1487008800,998.32,1001.99,999.49,1001.98,423.79659153
1487016000,998.29,1003.78,1001.74,1003.78,415.03378703
1487023200,1000.82,1005,1003.79,1002.82,519.14925643
1487030400,996,1003.07,1002.88,1000,504.55284076
1487037600,996.73,1004,1000,1001.03,449.26968888
1487044800,992.27,1009,1001.03,1005.85,548.44467829
1487052000,1002.16,1007.46,1005.83,1006.99,396.80658621
1487059200,1006.11,1018.96,1006.13,1018.13,636.05106359
1487066400,1000,1018.97,1018.14,1000.01,381.25021934
1487073600,1000.01,1013.45,1000.01,1011.28,365.83602378
1487080800,1008.35,1013.47,1011.29,1013.47,365.18650715
1487088000,1010.4,1014,1013.13,1011.16,634.59757515
1487095200,1005.51,1011.19,1011.18,1008.29,477.47520481
1487102400,1003.32,1010,1008.29,1009.06,663.19584284
1487109600,1008.44,1014,1009.15,1013.92,487.82409715
1487116800,1012.12,1014.99,1013.92,1013.83,433.17178968
1487124000,1008.2,1014.98,1013.83,1008.97,298.95225989
1487131200,1007.66,1013.45,1008.99,1013.01,294.59122914
1487138400,1008,1013.01,1013.01,1009.14,219.93145155
1487145600,1008.7,1012.81,1008.72,1011.5,141.86122675
1487152800,1009.34,1011.85,1011.5,1011.48,173.25569708
1487160000,1010.03,1013,1011.38,1012.75,374.0193246
1487167200,1010,1014,1012.75,1012.3,562.44464005
1487174400,1010.5,1014.86,1012.3,1012.02,545.66046116
1487181600,1010.01,1013.99,1011.56,1013.83,531.37408723
1487188800,1013,1015.74,1013.85,1015.74,448.69731831
1487196000,1011.81,1016,1015.68,1014.53,470.39068298
1487203200,1013.02,1015.99,1014.58,1015.99,339.39020589
1487210400,1015.93,1027.66,1015.99,1020.29,1184.48535151
1487217600,1020.32,1025.9,1020.97,1025.9,343.80807584
1487224800,1022.92,1028.67,1025.9,1024.51,312.76480428
1487232000,1021.44,1024.78,1024.51,1023.99,246.94969054
1487239200,1018.64,1024.99,1023.99,1024.96,307.41126485
1487246400,1022.5,1026.99,1024.96,1025.84,256.48834114
1487253600,1024.51,1038,1025.77,1035.38,587.85847
1487260800,1033.13,1041,1035.38,1034.99,640.72027423
1487268000,1033.52,1041.88,1034.99,1040.06,562.21893923
1487275200,1035,1040.99,1040.06,1038,826.07651999
1487282400,1035.31,1039.5,1038,1038.94,388.12129501
1487289600,1037.04,1044.88,1038.95,1044.88,456.75626509
1487296800,1036.29,1044.88,1044.87,1042.15,407.36523198
1487304000,1039.9,1044.3,1042.68,1042.5,241.37267601
1487311200,1040,1044.33,1042.5,1044.29,265.57943241
1487318400,1041.5,1046.77,1043.9,1046.77,187.11173534
1487325600,1040.8,1049.95,1046.77,1046.01,467.74556576
1487332800,1043.7,1055,1046.78,1054.99,462.9424667
1487340000,1052.51,1064.6,1054.9,1058.22,1329.50014727
1487347200,1055.03,1059.99,1058.22,1057.36,704.55111139
1487354400,1050.15,1057.9,1057.4,1056.58,841.80498423
1487361600,1056.01,1059.99,1056.54,1058.5,479.64178929
1487368800,1057,1062.33,1058.53,1057.3,490.32704831
1487376000,1055.6,1061.81,1057.29,1060.31,382.07848425
1487383200,1055.6,1063.93,1060.34,1063.83,377.70702763
1487390400,1063.59,1073.8,1063.84,1070.49,465.97124742
1487397600,1065.78,1071,1070.84,1070.89,276.66648162
1487404800,1067.8,1073.14,1070.85,1069.34,156.3551141
1487412000,1066.96,1069.69,1069.3,1068.15,213.14951195
1487419200,1064.02,1068.69,1068.66,1064.97,185.0760547
1487426400,1062.26,1069.3,1064.29,1069.3,441.23773138
1487433600,1067.08,1069.99,1069.32,1068.67,350.04077483
1487440800,1062.82,1070.11,1068.38,1065.49,456.39947401
1487448000,1065.1,1067.99,1065.53,1067.99,217.97085143
1487455200,1060.48,1068.5,1067.98,1062.15,412.0951321
1487462400,1055.1,1062.15,1062.14,1056.76,438.25223185
1487469600,1056.28,1061.5,1056.76,1057.41,234.34197207
1487476800,1056.02,1061.55,1057.41,1061,173.95149582
1487484000,1059.79,1066.49,1061.5,1065.77,116.05374471
1487491200,1064.57,1067.78,1065.77,1066.99,61.06972425
1487498400,1057.14,1067.49,1067.29,1061.05,142.37179859
1487505600,1051.26,1063.99,1061.04,1056.12,307.65160247
1487512800,1055.18,1060.3,1055.64,1060.28,250.25814015
1487520000,1057.11,1060.78,1060.29,1058.99,313.94370082
1487527200,1051.35,1058.98,1058.98,1053.72,511.24969452
1487534400,1053.4,1058.51,1053.72,1057.98,234.1335075
1487541600,1057.23,1060.2,1058.49,1059.88,242.13663231
1487548800,1054.39,1059.91,1059.88,1055.26,271.32754332
1487556000,1051.36,1056.8,1055.26,1052,263.78147126
1487563200,1052.08,1056.21,1052.76,1055.27,185.72084125
1487570400,1054.85,1060.5,1055.73,1060.49,191.81452129
1487577600,1060.49,1066.61,1060.49,1066.58,210.1511352
1487584800,1060.61,1066.99,1066.58,1060.61,207.72037237
1487592000,1060.5,1065.99,1061.24,1065.76,211.0885801
1487599200,1063.03,1065.99,1065.75,1065.99,237.91121222
1487606400,1065.26,1066.99,1065.99,1066.72,335.8578925
1487613600,1065,1066.99,1066.24,1066.99,365.84494842
1487620800,1064.05,1067.82,1066.99,1066.06,372.23244133
1487628000,1064.73,1095,1065.52,1089.82,1580.99102594
1487635200,1081.95,1089.99,1089.98,1086,697.22732086
1487642400,1085.76,1088,1086,1087.42,395.44575401
1487649600,1086.52,1091.53,1087.41,1091.46,370.85240701
1487656800,1089.14,1103.4,1091.44,1093,814.43596735
1487664000,1091.01,1104,1093,1096.93,343.64806072
1487671200,1095.42,1112.31,1096.94,1112.31,336.23952956
1487678400,1110.95,1118,1112.31,1113.65,618.73913326
1487685600,1098.05,1117.99,1113.63,1105.33,1002.11106879
1487692800,1102.66,1117.99,1105.5,1117.99,795.84842244
1487700000,1112.73,1119.07,1117.99,1117.88,645.68470479
1487707200,1116.06,1119.5,1117.89,1119.1,405.04518694
1487714400,1119.1,1132.95,1119.11,1128.29,1062.24646198
1487721600,1119,1130.53,1129.67,1121.1,624.61784631
1487728800,1118.05,1126.11,1121.13,1124.84,480.66455998
1487736000,1104.9,1126.66,1125.29,1115.52,627.31865943
1487743200,1114.28,1121.69,1115.51,1117,314.69653916
1487750400,1108.88,1118.46,1117,1115.75,213.10341572
1487757600,1111.44,1118.63,1115.75,1117.39,286.56640275
1487764800,1115.52,1124.81,1117.38,1124.81,301.98415594
1487772000,1124.01,1132,1124.81,1131.74,541.85748727
1487779200,1120.47,1134.08,1131.9,1134.08,718.87398381
1487786400,1131.85,1140,1134.08,1135.99,703.20150193
1487793600,1131.52,1139.99,1135.99,1131.52,707.0047401
1487800800,1126.33,1132.68,1132.63,1128.71,515.93417519
1487808000,1128.33,1136.98,1129.87,1136.7,475.2177488
1487815200,1128.22,1138.89,1136.69,1132.47,512.35602797
1487822400,1129,1133.36,1132,1132.15,266.91360175
1487829600,1128.97,1133.49,1132.17,1132.5,207.08961729
1487836800,1130.91,1143.76,1132.5,1138.47,377.83472839
1487844000,1135.74,1145,1138.47,1145,291.35980766
1487851200,1145,1157.59,1145,1152.51,716.68797895
1487858400,1150.2,1160,1153.3,1158.83,733.48285859
1487865600,1152,1159,1158.78,1156.98,683.08553686
1487872800,1156.68,1170,1156.96,1167.66,885.94267115
1487880000,1163,1173.1,1167.68,1168.68,695.60261502
1487887200,1165.25,1197,1168.68,1186.9,1728.88676677
1487894400,1178.01,1196,1185.81,1187.08,919.95335182
1487901600,1186.99,1199.99,1187.87,1199.99,803.90644707
1487908800,1199.99,1221.93,1199.99,1210.98,1516.05809346
1487916000,1103.32,1215,1210.98,1168.49,3462.61770221
1487923200,1157.34,1190,1168.48,1182.45,863.2516346
1487930400,1137.5,1182.34,1182.34,1169.86,647.10326244
1487937600,1160,1199.07,1169.76,1192.59,694.26727605
1487944800,1190.88,1204.99,1192.6,1199.48,822.43596975
1487952000,1186,1206,1199.02,1199.75,1005.90974386
1487959200,1180.31,1199.88,1199.75,1184.9,822.19639569
1487966400,1170,1184.99,1184.91,1178.15,729.23954266
1487973600,1176.97,1189.1,1177.95,1186.91,457.97802885
1487980800,1182.31,1189.11,1186.91,1188.99,387.33876169
1487988000,1187.08,1189.06,1188.98,1189.06,302.14310035
1487995200,1179.71,1189.49,1188.79,1180.99,349.15711813
1488002400,1171.01,1185,1180.52,1184.91,283.75988766
1488009600,1184.25,1185.97,1184.39,1185.5,101.32049454
1488016800,1180.98,1186,1185.05,1185.05,146.76716375
1488024000,1177,1186,1185.08,1177.43,246.53034182
1488031200,1151,1184,1177.43,1165.28,764.91588483
1488038400,1110,1165.21,1165.21,1145.76,2121.21361811
1488045600,1145.75,1159.61,1145.75,1154.09,589.59591803
1488052800,1146.01,1160.75,1154.12,1157.53,383.35318605
1488060000,1152.31,1162.02,1157.52,1158,357.28195333
1488067200,1133.11,1158.98,1157.98,1136,615.91772101
1488074400,1130.88,1143.14,1138.95,1139.94,686.72370774
1488081600,1139.94,1157.98,1139.94,1154.9,286.35773228
1488088800,1148.82,1161.99,1154.15,1161.99,272.32245634
1488096000,1161.98,1168,1161.99,1168,211.51621221
1488103200,1157.57,1175,1167.99,1168.69,205.27150884
1488110400,1167.9,1171.5,1168.69,1168.55,142.11300135
1488117600,1168.35,1171.99,1168.36,1171.95,201.47570092
1488124800,1170,1187.33,1171.95,1172.78,931.29316642
1488132000,1172.97,1182.32,1172.97,1177.5,234.26193626
1488139200,1173,1178.23,1177.5,1177.79,299.74338882
1488146400,1177.79,1185,1177.79,1184.91,367.44746277
1488153600,1181.06,1195.52,1184.91,1194.96,565.90996154
1488160800,1188.25,1194.99,1194.95,1194.08,352.97318136
1488168000,1176,1194.99,1194.16,1186.35,408.23505422
1488175200,1182.96,1186.4,1186.35,1184.84,232.37423786
1488182400,1179.53,1188.23,1185.04,1186.56,221.34375449
1488189600,1181.5,1189.11,1187.94,1187.79,179.61522185
1488196800,1177.5,1188.02,1188.02,1183.91,291.68163765
1488204000,1180,1188.74,1183.99,1187,440.10988825
1488211200,1179.51,1198.99,1187,1194.33,960.52766945
1488218400,1189.26,1197.97,1194.47,1194.6,571.42396396
1488225600,1186.01,1195.27,1194.52,1193.56,867.56225471
1488232800,1189.52,1195.99,1194.8,1195.81,684.69939133
1488240000,1195.84,1210.45,1195.84,1208.95,1060.81493398
1488247200,1179.64,1214.94,1208.95,1197.73,1456.4375467
1488254400,1181,1200.92,1197.79,1199.17,937.79442923
1488261600,1191.7,1200.92,1199.16,1192.65,574.83324792
1488268800,1182,1195.88,1192.64,1193.29,516.65187207
1488276000,1187.45,1194.9,1193.3,1188.54,264.21960038
1488283200,1185.7,1191.99,1188.66,1191.11,292.22176839
